Date,Description,Debit,Credit,Reference,Vendor,GL_Account,Transaction_ID
11/22/2024,ACH Credit - Vendor Refund,,480.00,ACH-CR-005,Office Depot,1000-Cash,TXN-INT-046
11/22/2024,Wire Transfer to Cloud Services,1980.00,,WIRE-OUT-006,Cloud Services Inc,6500-IT,TXN-INT-047
11/23/2024,Payment to Travel Agency,820.00,,CHK10011,Travel Agency,6900-Travel,TXN-INT-048
11/25/2024,Wire Transfer from Pacific Trading,,6720.00,WIRE-IN-007,Pacific Trading,1000-Cash,TXN-INT-049
11/26/2024,Cash Deposit - Store Location 5,,2030.00,DEP20241117001,Internal Transfer,1000-Cash,TXN-INT-050
11/27/2024,Wire Transfer to Import/Export Co,2870.00,,WIRE-OUT-007,Import/Export Co,2000-AP,TXN-INT-051
11/28/2024,Payment to Training Services,1340.00,,CHK10012,Training Services,6700-Consulting,TXN-INT-052
11/29/2024,Customer Payment - Invoice INV-2024-012,,3980.00,DEP20241118001,Customer EFG,1000-Cash,TXN-INT-053
11/05/2024,Prepaid Expense - Annual Software License,2400.00,,PREPAID-001,Enterprise Software Co,1500-Prepaid,TXN-INT-054
11/08/2024,Accrued Payroll Entry,15000.00,,PAYROLL-001,Internal - Payroll,5000-Salaries,TXN-INT-055
11/12/2024,Revenue Recognition - Service Contract,,8500.00,REV-001,Customer HIJ,4000-Revenue,TXN-INT-056
11/15/2024,Depreciation Expense Entry,1200.00,,DEPR-001,Internal - Fixed Assets,6050-Depreciation,TXN-INT-057
11/18/2024,Inventory Adjustment,3500.00,,INV-ADJ-001,Internal - Inventory,1200-Inventory,TXN-INT-058
11/22/2024,Prepaid Insurance Allocation,450.00,,PREPAID-002,Internal - Prepaid,6100-Insurance,TXN-INT-059
11/25/2024,Accrued Interest Expense,275.00,,INT-EXP-001,First National Bank,7000-Interest,TXN-INT-060
11/28/2024,Deferred Revenue Recognition,,4200.00,DEFREV-001,Customer KLM,4000-Revenue,TXN-INT-061
11/30/2024,Month-End Closing Entry - Reclassification,1850.00,,RECLASS-001,Internal - Adjustments,9000-Adjustments,TXN-INT-062
11/30/2024,Pending Vendor Payment - Not Yet Cleared,2200.00,,CHK10013,Vendor NOP,2000-AP,TXN-INT-063




